product_id,post_title,price,stock_quantity,chiffre_affaires_produit,chiffre_affaires_total
4646.0,Bernard Baudry Chinon Rouge Le Clos Guillot 2017,21.5,34.0,731.0,388287.4999999999
4057.0,Mourgues du Grès Costières de Nîmes Galets Dorés 2019,8.7,112.0,974.3999999999999,388287.4999999999
6592.0,Domaine de la Monardière Vacqueyras Blanc Galéjade 2018,24.4,70.0,1708.0,388287.4999999999
5715.0,François Baur Gewurztraminer Herrenweg de Turckheim 2016,13.7,35.0,479.5,388287.4999999999
4155.0,Elian Daros Côtes du Marmandais Le Vignoble d'Elian 2016,14.5,70.0,1015.0,388287.4999999999
4250.0,Domaine Saint-Denis Bourgogne Rouge Clos de la Coque 2018,19.5,14.0,273.0,388287.4999999999
4048.0,Pierre Gaillard Saint-Joseph Rouge Clos de Cuminaille 2018,22.8,22.0,501.6,388287.4999999999
5550.0,Thierry Germain Saumur-Champigny La Marginale 2017,34.3,0.0,0.0,388287.4999999999
4056.0,Clos du Mont-Olivet Côtes-du-Rhône Vieilles Vignes 2018,12.7,0.0,0.0,388287.4999999999
4675.0,Domaine Rotier Gaillac Blanc Sec Renaissance 2015,10.7,35.0,374.5,388287.4999999999
4626.0,Marcel Windholtz Eau de Vie de Prunelle Sauvage,52.9,2.0,105.8,388287.4999999999
4785.0,Maurice Schoech Pinot Auxerrois Vieilles Vignes 2018,10.1,18.0,181.79999999999998,388287.4999999999
4670.0,Domaine Pellé Menetou Salon Blanc Morogues 2018,17.0,93.0,1581.0,388287.4999999999
5711.0,Albert Mann Riesling Cuvée Albert 2017,25.0,35.0,875.0,388287.4999999999
6215.0,Domaine des Comtes Lafon Volnay 1er Cru Champans 2014,115.0,4.0,460.0,388287.4999999999
5615.0,"Albert Boxler Pinot Gris Grand Cru Sommerberg ""W"" 2016",56.4,11.0,620.4,388287.4999999999
5379.0,Argentine Mendoza Alamos Torrontes 2017,11.1,26.0,288.59999999999997,388287.4999999999
4600.0,Marc Colin Et Fils Chassagne-Montrachet Rouge Vieilles Vignes 2017,26.5,0.0,0.0,388287.4999999999
